neighborhood,Latitude,Longitude
reseda,34.198926,-118.53857099999999
rolling hills,33.760022,-118.347168
rolling hills estates,33.778407,-118.350807
rosemead,34.068882,-118.08227099999999
rowland heights,33.96744,-117.87184199999999
san dimas,34.108201,-117.808944
san fernando,34.288671,-118.43623799999999
san gabriel,34.094844,-118.099093
san marino,34.122367,-118.11323700000001
san pasqual,34.139229,-118.10253300000001
san pedro,33.736684000000004,-118.284679
santa clarita,34.41748,-118.49647900000001
santa fe springs,33.933048,-118.062518
santa monica,34.023052,-118.481816
shadow hills,34.254439,-118.359629
sherman oaks,34.15242,-118.439071
sierra madre,34.168709,-118.05033200000001
signal hill,33.803005,-118.168269
silver lake,34.095701,-118.270242
south el monte,34.049352,-118.04831499999999
south gate,33.944713,-118.192526
south park,33.999717,-118.274297
south pasadena,34.110240000000005,-118.15728899999999
south san gabriel,34.047554999999996,-118.08803300000001
south whittier,33.933626000000004,-118.03119099999999
stevenson ranch,34.376825,-118.607267
studio city,34.137440999999995,-118.389205
sun valley,34.227522,-118.35548100000001
sun village,34.572624,-117.937941
sunland,34.255065,-118.32928700000001
sylmar,34.313096,-118.44715500000001
tarzana,34.156974,-118.549107
temple city,34.102167,-118.057952
toluca lake,34.15055,-118.35767299999999
torrance,33.834625,-118.341633
tujunga,34.251129999999996,-118.28849699999999
university park,34.027991,-118.27883500000002
val verde,34.444032,-118.673426
valinda,34.04005,-117.93010600000001
valley glen,34.182525,-118.42650400000001
valley village,34.163461,-118.39515300000001
van nuys,34.201032,-118.46279799999999
venice,33.993790999999995,-118.46206699999999
vermont knolls,33.968255,-118.294776
vermont square,33.999376,-118.29804299999999
vermont vista,33.954326,-118.282068
vernon,34.001902,-118.21058300000001
walnut,34.033460999999996,-117.859319
walnut park,33.968237,-118.22195
watts,33.940452,-118.241149
west adams,34.035612,-118.307847
west carson,33.825207,-118.292604
west covina,34.055423,-117.91128799999998
west hills,34.211472,-118.63606999999999
west hollywood,34.088278,-118.371765
west los angeles,34.040753,-118.45048100000001
west puente valley,34.043568,-117.95878700000002
westchester,33.952357,-118.40607
westlake,34.057208,-118.272224
westlake village,34.136925,-118.822005
westwood,34.065931,-118.43813700000001
whittier,33.967844,-118.01880600000001
willowbrook,33.916576,-118.25150500000001
wilmington,33.785869,-118.253276
winnetka,34.213111,-118.575929
woodland hills,34.16635,-118.604522
